T, m_real, m_imag, m2, m4
0.01, -5e-06, -8.66025e-06, 1, 1
0.0498, -5e-06, 8.66025e-06, 1, 1
0.0896, 1e-05, 1.11021e-16, 1, 1
0.1294, -5e-06, -8.66025e-06, 1, 1
0.1692, -5e-06, 8.66025e-06, 1, 1
0.209, 1e-05, 1.11021e-16, 1, 1
0.2488, -5e-06, -8.45728e-06, 0.999999, 0.999999
0.2886, -5e-06, 8.66025e-06, 0.999995, 0.99999
0.3284, -5.46875e-06, 9.53981e-06, 0.999971, 0.999943
0.3682, -2.94922e-06, 9.6413e-06, 0.999885, 0.999772
0.408, 1.11133e-05, 4.63459e-06, 0.999656, 0.999316
0.4478, 2.73437e-06, 6.90114e-06, 0.999183, 0.998376
0.4876, 2.8457e-05, -4.3741e-05, 0.998237, 0.996499
0.5274, 0.000103223, -2.96005e-05, 0.996645, 0.993345
0.5672, -8.69727e-05, 2.58116e-05, 0.993989, 0.988097
0.607, 0.000212852, 0.000272392, 0.990118, 0.980478
0.6468, -6.34766e-06, 0.000112752, 0.984336, 0.96916
0.6866, -0.000280859, -0.000226655, 0.976492, 0.953916
0.7264, 0.000269336, 0.000312243, 0.964932, 0.93173
0.7662, 0.000187891, -0.000442755, 0.949818, 0.903163
0.806, -0.000489453, -0.000200877, 0.928825, 0.864358
0.8458, 0.000534648, 0.000101352, 0.899798, 0.812367
0.8856, -0.00073748, -3.54867e-05, 0.857852, 0.740798
0.9254, 0.000326289, -0.000675703, 0.795913, 0.643578
0.9652, 0.000872207, -0.000128179, 0.686217, 0.495763
1.005, 0.0013351, 3.02094e-05, 0.479635, 0.279901
1.0448, 0.000568457, -0.00055835, 0.240132, 0.0945283
1.0846, -0.000752832, -0.000337851, 0.119893, 0.028281
1.1244, -0.000942734, -0.00176344, 0.0753929, 0.0116171
1.1642, 0.000550293, -0.000244145, 0.0555944, 0.00635568
1.204, -0.00012582, 0.00289083, 0.0421608, 0.00360123
1.2438, -0.00189436, -0.000178719, 0.0349595, 0.00243985
1.2836, -0.000317422, 0.00019445, 0.0295882, 0.00173115
1.3234, -0.00370977, 0.00105702, 0.0261454, 0.0013634
1.3632, -4.72461e-05, 0.000898332, 0.0233265, 0.0010947
1.403, 0.00216766, 6.02158e-05, 0.020957, 0.000870156
1.4428, 0.00177285, 0.000717719, 0.0191469, 0.000729725
1.4826, 0.00241773, 0.00287791, 0.0172756, 0.000606154
1.5224, -0.000493086, -0.00230552, 0.0164523, 0.000543121
1.5622, 0.0044875, -0.00183029, 0.015237, 0.000462773
1.602, -0.000695, 0.00175086, 0.0143249, 0.000409931
1.6418, -0.00235104, -0.00127641, 0.0138096, 0.000383063
1.6816, -0.0011484, -0.00101704, 0.012752, 0.000324844
1.7214, -0.00177424, 0.000535819, 0.0125232, 0.000312958
1.7612, 0.000815078, -0.00340389, 0.0122003, 0.000296214
1.801, -0.00301742, -0.00124593, 0.0109934, 0.000240785
1.8408, -0.000272422, 0.00199023, 0.0110625, 0.000239978
1.8806, 0.000352129, 0.00172329, 0.0106924, 0.000235943
1.9204, -0.00180746, 0.000875362, 0.0102539, 0.000206793
1.9602, -1.44922e-05, 0.00145831, 0.010108, 0.000202272
2, -0.000498828, -0.000543905, 0.00966826, 0.000186856
