T, m_real, m_imag, m2, m4
0.99, 0.000364785, 0.000847994, 0.567583, 0.36437
0.9902, -0.000189863, 0.00145469, 0.567592, 0.364081
0.9904, 0.000277012, -2.58793e-05, 0.568177, 0.36398
0.9906, -0.000464316, -0.00259419, 0.562456, 0.359498
0.9908, 0.000941289, -0.0018809, 0.562561, 0.359257
0.991, -0.00100561, -0.000251722, 0.562942, 0.359471
0.9912, 0.000738496, 0.000292385, 0.558191, 0.354586
0.9914, 0.000280352, 0.000599723, 0.558553, 0.355219
0.9916, 0.00242008, 0.000264002, 0.558937, 0.355411
0.9918, -0.00166684, 7.10411e-06, 0.557494, 0.353569
0.992, -0.00210793, -0.0017692, 0.560053, 0.356277
0.9922, -0.00022918, 0.00125662, 0.556978, 0.35336
0.9924, 0.00126186, 0.000353954, 0.549876, 0.346236
0.9926, 0.00048543, -0.00154802, 0.550776, 0.348313
0.9928, -0.000385625, 0.00176405, 0.549973, 0.346825
0.993, 0.000289316, 0.00145272, 0.551863, 0.348191
0.9932, -0.00065123, 0.000557673, 0.550041, 0.346675
0.9934, 0.000492109, -0.000565623, 0.550983, 0.347489
0.9936, 0.0014418, 0.00183509, 0.546937, 0.343868
0.9938, -0.00153969, -0.000393839, 0.546286, 0.342424
0.994, 0.00102619, 0.00115442, 0.543772, 0.340879
0.9942, 0.0017984, 0.000128145, 0.542758, 0.339474
0.9944, 0.000201074, -0.000217284, 0.543733, 0.340279
0.9946, -0.0012677, 0.000185925, 0.546396, 0.342393
0.9948, -0.00210752, -0.00126565, 0.543238, 0.339243
0.995, 0.00106498, -0.000195093, 0.539847, 0.336882
0.9952, 0.00128395, 4.47898e-05, 0.537858, 0.334597
0.9954, -0.000111289, -9.79691e-05, 0.534716, 0.331439
0.9956, -0.000180313, 0.000853509, 0.533952, 0.331334
0.9958, -0.00283344, -0.000569141, 0.535624, 0.332132
0.996, -0.000130918, -0.00164704, 0.535362, 0.331983
0.9962, -0.00030875, -1.03517e-05, 0.530524, 0.326857
0.9964, -0.00138816, -0.000967107, 0.531, 0.32784
0.9966, 0.000599336, -0.00115303, 0.52698, 0.324225
0.9968, 0.000199551, 0.00147755, 0.52954, 0.326307
0.997, -0.000629023, 0.00230593, 0.524629, 0.322193
0.9972, 0.00139521, -0.00105557, 0.521307, 0.319075
0.9974, -1.27344e-05, -0.000926444, 0.52558, 0.321653
0.9976, -0.00128199, -0.000296749, 0.524404, 0.322507
0.9978, 2.00195e-05, -0.00048697, 0.522107, 0.31929
0.998, -0.000566504, -0.00177024, 0.525034, 0.322529
0.9982, 0.000413242, -0.000776311, 0.518381, 0.316786
0.9984, -0.000343379, 0.000233049, 0.520027, 0.317887
0.9986, -0.000444336, -0.000108659, 0.511931, 0.310231
0.9988, 0.000748984, -0.000397289, 0.520419, 0.317161
0.999, 1.07617e-05, 0.00186145, 0.511473, 0.30921
0.9992, 0.00108766, -0.00198746, 0.512512, 0.310151
0.9994, 0.00033373, 0.00117715, 0.512451, 0.310749
0.9996, 0.000529902, 0.000946776, 0.51048, 0.308508
0.9998, -0.00127813, -0.00108842, 0.508817, 0.307058
1, 0.000524746, 0.00122032, 0.511109, 0.308702
