T, m_real, m_imag, m2, m4
0.8, 0.000618672, 0.000442079, 0.933325, 0.876773
0.808, -0.000513125, 0.000534229, 0.928694, 0.868742
0.816, 0.000264531, -2.62514e-05, 0.924242, 0.861015
0.824, 8.10156e-05, -0.000884834, 0.918317, 0.851029
0.832, -0.000446563, 0.000364272, 0.912637, 0.841306
0.84, 0.000394375, -0.00020081, 0.90666, 0.831199
0.848, -0.000206563, 0.000477397, 0.899673, 0.819872
0.856, 0.000916797, -0.000330037, 0.892534, 0.808277
0.864, 0.000622656, -6.22456e-06, 0.886255, 0.798001
0.872, -0.00135664, 2.99049e-05, 0.878883, 0.785992
0.88, 9.76562e-05, 0.000422187, 0.86855, 0.770008
0.888, 0.000447109, 0.000457234, 0.862285, 0.759966
0.896, -6.85156e-05, -0.000150878, 0.848874, 0.73999
0.904, 0.000737969, -0.000682266, 0.83602, 0.720664
0.912, 0.000118047, 0.000756284, 0.825441, 0.705489
0.92, -0.000190391, 0.000595257, 0.812158, 0.686543
0.928, 9.39062e-05, 0.00153774, 0.801684, 0.671255
0.936, -0.000403438, 0.000680101, 0.788209, 0.653349
0.944, 0.000213203, -0.000521374, 0.7707, 0.629204
0.952, 0.000745937, -0.000164274, 0.756243, 0.610823
0.96, -0.000190156, 0.000768598, 0.733798, 0.58237
0.968, 0.000438203, -0.000803645, 0.719183, 0.563733
0.976, -0.000353984, 0.000210958, 0.694973, 0.534268
0.984, -0.00106414, -0.000953034, 0.679221, 0.514903
0.992, 0.000106797, -0.00020744, 0.651, 0.482329
1, -0.000733672, -9.45862e-05, 0.632195, 0.460496
1.008, 0.00113312, -0.00178591, 0.603636, 0.429189
1.016, -0.00120898, -0.000722725, 0.574191, 0.397614
1.024, -0.00146422, 0.000612713, 0.557704, 0.379855
1.032, 0.000631797, 0.000306221, 0.528904, 0.349843
1.04, 2.92187e-05, 0.00155452, 0.503384, 0.325156
1.048, -0.000887422, 0.000646407, 0.475613, 0.296728
1.056, -0.000743516, -0.000767921, 0.460094, 0.282222
1.064, -0.00115484, 0.000556963, 0.43275, 0.258202
1.072, -0.000142109, 0.00137062, 0.406251, 0.233577
1.08, 0.000148047, -0.00051515, 0.386237, 0.215409
1.088, -0.00136391, 0.000754795, 0.361902, 0.194
1.096, -6.35938e-05, -0.00169579, 0.346649, 0.181401
1.104, 0.000927344, 0.00141893, 0.323767, 0.163507
1.112, 0.000794922, -0.0023974, 0.304812, 0.14748
1.12, 0.000175703, -0.0012353, 0.287716, 0.1343
1.128, 0.000684297, -0.000293501, 0.272641, 0.123511
1.136, -0.00202297, -0.00109823, 0.259545, 0.113423
1.144, 0.000809922, -0.00022882, 0.245953, 0.103164
1.152, -2.67969e-05, -0.000556015, 0.234573, 0.0954965
1.16, -0.00128258, -0.00101014, 0.22386, 0.0878329
1.168, -0.00196203, 0.000992411, 0.20949, 0.0783272
1.176, -0.0014143, 0.000774416, 0.197588, 0.0710467
1.184, -0.00109039, -0.00187102, 0.190894, 0.0665124
1.192, -0.000758281, -0.000148036, 0.181862, 0.0610449
1.2, -0.000163203, -0.00290971, 0.1751, 0.0571477
