m0r_re, m0r_im, m0mr_re, m0mr_im
1, 0, 8.749e-07, 0
0.984115, -0.000303109, 3.3715e-07, 3.4719e-07
0.97135, -0.000155885, -3.377e-07, 8.11639e-07
0.95971, -0.000363731, 4.5025e-07, 3.76461e-07
0.95053, -0.000536936, -7.0205e-07, 3.27444e-07
0.94414, -0.000138564, -3.665e-07, -2.2482e-07
0.93736, -0.000155885, -1.763e-07, 5.35204e-08
0.93472, -0.000190526, -4.58e-08, 2.03862e-07
0.932905, 0.000147224, 3.8305e-07, 4.83675e-07
0.93304, 0.000259808, 5.05e-07, 3.26318e-07
0.935185, -0.000199186, 1.729e-07, 4.97618e-07
0.94006, -0.000277128, -6.1925e-07, 2.76522e-07
0.947725, -0.000251147, 1.375e-08, -1.78661e-07
0.957025, -0.000251147, 3.1435e-07, 3.17831e-08
0.968215, -0.00033775, 1.0123e-06, -6.11587e-07
0.98317, -0.000138564, 1.0294e-06, 3.81051e-09
