m0r_re, m0r_im, m0mr_re, m0mr_im
1, 0, 6.0217e-08, 0
0.983595, 5.23945e-05, 5.06875e-08, 3.16021e-08
0.969615, 7.66432e-05, 5.25775e-08, -2.78903e-08
0.958172, 5.58586e-05, 1.24968e-07, -1.38984e-08
0.948685, 5.80237e-05, 8.11465e-08, -2.45717e-08
0.941505, 6.7117e-05, 2.57477e-08, -2.61085e-08
0.936108, 7.83753e-05, 1.2445e-08, 1.02823e-08
0.933048, 0.000149822, 1.02625e-08, 2.93158e-08
0.932055, 8.35715e-05, -9.6395e-09, 4.22387e-08
0.933127, 1.38564e-05, -1.99573e-08, 1.28133e-08
0.936428, -5.62917e-05, -4.05447e-08, 5.26327e-09
0.941585, -5.36936e-05, -3.30282e-08, 2.22911e-08
0.949097, 3.07439e-05, -5.711e-08, 2.7634e-08
0.958442, 9.78609e-05, -2.64395e-08, -2.57608e-08
0.97, 4.07032e-05, -1.4102e-08, -2.71326e-09
0.983893, 7.88083e-05, 2.5525e-08, -1.2392e-08
