T, m_real, m_imag, m2, m4
0.1, -5e-06, -8.66025e-06, 1, 1
0.298, -4.82422e-06, 8.55877e-06, 0.999992, 0.999985
0.496, -6.91602e-05, 3.41336e-05, 0.997981, 0.995991
0.694, -0.00030248, 0.000298136, 0.974417, 0.949916
0.892, 0.000661152, 0.000493465, 0.850203, 0.72832
1.09, 0.00162279, -0.00120306, 0.113474, 0.0252394
1.288, 0.00071957, -0.000792481, 0.0291362, 0.00170313
1.486, -0.00174113, -0.000816161, 0.0177718, 0.00063072
1.684, 0.0018942, 0.000736426, 0.0129957, 0.000337072
1.882, 0.00174871, -0.00206419, 0.0106462, 0.000231167
2.08, -0.000187813, 0.000577531, 0.00926882, 0.000169696
2.278, 0.00015877, -0.00242382, 0.00826094, 0.000134211
2.476, -0.00198811, -0.00119643, 0.00782344, 0.000120303
2.674, -0.00277713, 0.00174589, 0.00721631, 0.000105117
2.872, -0.00110504, 0.00255132, 0.00693409, 9.44941e-05
3.07, 0.00270566, -0.00152008, 0.00653184, 8.39402e-05
3.268, -0.000864629, 0.00160827, 0.00616404, 7.99279e-05
3.466, -0.00147629, 0.0012736, 0.00623004, 7.53004e-05
3.664, -0.000249043, 0.00148946, 0.0058312, 6.82679e-05
3.862, -0.00209451, 0.00198526, 0.0056747, 6.26567e-05
4.06, -0.00027166, -0.000134877, 0.00558696, 6.22401e-05
4.258, -0.00407527, 2.19213e-05, 0.0057937, 7.03491e-05
4.456, -0.0050535, -0.00045896, 0.00540851, 5.7393e-05
4.654, -0.000707188, 0.00127746, 0.00564381, 6.56971e-05
4.852, -0.000745332, 0.0015515, 0.00538432, 5.78139e-05
5.05, 0.00371635, -0.000703071, 0.00518181, 5.2811e-05
5.248, 0.000694434, -0.00132106, 0.00503936, 5.10879e-05
5.446, -0.000429863, -0.00167471, 0.00507265, 5.06752e-05
5.644, 0.00215852, 0.000347493, 0.00519392, 5.36407e-05
5.842, 0.00202299, 0.00239405, 0.00482984, 4.75823e-05
6.04, -0.00329486, 0.00559165, 0.00485365, 4.57909e-05
6.238, -0.0015623, 0.00212677, 0.00497734, 4.74429e-05
6.436, -0.00188715, -0.0012146, 0.00503013, 5.01661e-05
6.634, -0.00195957, -0.00277426, 0.00475349, 4.50917e-05
6.832, -0.00296322, 0.000293332, 0.00469131, 4.43171e-05
7.03, 0.00263031, -0.000571103, 0.00484239, 4.76918e-05
7.228, -0.00369518, 0.00126937, 0.00460657, 4.15483e-05
7.426, -0.00045377, -0.00044306, 0.00501629, 4.79491e-05
7.624, 0.0020575, -0.00331566, 0.00462068, 4.21395e-05
7.822, 0.000406973, -0.00100733, 0.00443515, 3.86769e-05
8.02, -0.00190695, -0.0022177, 0.00457466, 4.07035e-05
8.218, -0.00131891, 0.00141521, 0.00466582, 4.45584e-05
8.416, 0.00294426, -0.00234706, 0.00480914, 4.50262e-05
8.614, 0.00106727, 0.00466273, 0.00422552, 3.54517e-05
8.812, 0.000842383, -0.00442011, 0.00478366, 4.3702e-05
9.01, -0.00464029, 0.000602057, 0.00478814, 4.65908e-05
9.208, 0.000618848, 0.00182058, 0.00466466, 4.29015e-05
9.406, 0.000655176, -0.00403916, 0.00441583, 3.84288e-05
9.604, 0.000310879, -0.00138825, 0.00453394, 4.06727e-05
9.802, -0.00485252, 0.00106064, 0.00428502, 3.73242e-05
10, -0.000938984, 0.000789233, 0.00431297, 3.88264e-05
