m0r_re, m0r_im, m0mr_re, m0mr_im
1, 0, 2.6383e-06, 0
0.683635, 0.00258942, 5.983e-07, 5.53979e-06
0.465085, -0.00180999, 3.53305e-06, 2.24742e-06
0.321025, -0.00444271, 3.33265e-06, 1.02751e-05
0.22513, -0.000744782, -6.9248e-06, -1.78193e-06
0.162115, 0.00118645, 6.3007e-06, -8.88109e-06
0.120895, 0.0041829, 5.1328e-06, -3.33333e-06
0.101125, 0.00156751, -3.04475e-06, -1.02971e-05
0.09064, 0.000814064, 4.99795e-06, -8.19269e-06
0.09778, 0.000640859, 6.71935e-06, 2.06746e-06
0.124465, -0.00163679, 7.9075e-06, 2.00208e-06
0.160705, -0.00305707, -8e-09, 1.67039e-06
0.225205, -0.00172339, 8.1526e-06, 2.69126e-06
0.320785, 0.00238157, 1.90735e-06, 6.04927e-06
0.462025, 0.000736122, -1.571e-07, -7.84792e-07
0.677785, -0.00310903, 5.7592e-06, -4.34624e-06
