m0r_re, m0r_im, m0mr_re, m0mr_im
1, 0, 1.5676e-06, 0
0.984175, -0.000233827, 1.1752e-06, -4.48948e-07
0.97006, -0.000363731, 8.773e-07, 4.61938e-07
0.959095, -0.000545596, -2.117e-07, 1.12757e-07
0.94948, -0.000883346, -4.58e-07, 1.11198e-07
0.94189, -0.0006755, -1.874e-07, 3.46064e-07
0.936775, -0.000614878, -4.178e-07, 9.49164e-08
0.934015, -0.000562917, -3.32e-07, 5.66727e-07
0.932335, -0.000909327, -1.322e-07, 2.22395e-07
0.93376, -0.00100459, -1.907e-07, -3.75855e-08
0.936115, -0.000874686, -3.422e-07, 3.68234e-07
0.94048, -0.000450333, -2.636e-07, 6.20074e-07
0.94879, -0.00032909, -1.883e-07, 4.88265e-07
0.960085, -0.000320429, 1.1872e-06, 8.22724e-07
0.97156, -0.000207846, 1.666e-07, 5.2689e-07
0.98542, 0.000121244, 7.549e-07, 7.95185e-07
