T, m_real, m_imag, m2, m4
0.05, -0.005, -0.00866025, 1, 1, 
0.55, -0.005, 0.00866025, 1, 1, 
1.05, 0.01, 1.09912e-16, 1, 1, 
1.55, -0.00505859, -0.00876174, 0.999767, 0.999536, 
2.05, -0.00517578, -0.00835579, 0.997901, 0.995831, 
2.55, 0.0243555, 0.00774687, 0.98189, 0.96436, 
3.05, -0.00787109, 0.00835579, 0.942449, 0.889418, 
3.55, -0.00300781, -0.0240863, 0.85976, 0.743483, 
4.05, 0.000859375, -0.0548708, 0.356828, 0.178621, 
4.55, -0.0548633, 0.0247967, 0.0433, 0.00424124, 
5.05, 0.021543, 0.0264205, 0.0362798, 0.00268203, 
5.55, -0.0397461, -0.0224287, 0.0116443, 0.00027064, 
6.05, 0.0823633, -0.0183692, 0.0304964, 0.00111848, 
6.55, 0.0602148, 0.14374, 0.0389467, 0.00239747, 
7.05, -0.0357617, -0.0018606, 0.0088295, 0.000166517, 
7.55, -0.0239258, 0.01228, 0.00419144, 4.12334e-05, 
8.05, -0.0874414, -0.0338629, 0.010634, 0.000155242, 
8.55, -0.0948828, 0.0860613, 0.0199614, 0.000552291, 
9.05, -0.0535156, -0.0177265, 0.00687347, 7.45646e-05, 
9.55, -0.0549805, 0.041576, 0.00697052, 7.97096e-05, 
10.05, -0.0199414, 0.0210755, 0.00225372, 9.14539e-06, 
10.55, 0.0779687, 0.00108253, 0.0114928, 0.000228625, 
11.05, -0.0360547, 0.0202975, 0.00549149, 5.48536e-05, 
11.55, -0.0345898, -0.0911018, 0.0127361, 0.000212014, 
12.05, 0.0600391, 0.0610277, 0.00858459, 8.31233e-05, 
12.55, -0.00763672, 0.0119417, 0.00171906, 4.55675e-06, 
13.05, 0.0361328, -0.0394448, 0.00409805, 2.37299e-05, 
13.55, -0.0131445, 0.0944171, 0.0104399, 0.000147676, 
14.05, 0.0306836, -0.10531, 0.0156891, 0.000402727, 
14.55, 0.00138672, -0.0349455, 0.00268265, 1.08268e-05, 
