T, m_real, m_imag, m2, m4
0.001, -5e-06, -8.66025e-06, 1, 1
0.101, -5e-06, 8.66025e-06, 1, 1
0.201, 1e-05, 1.11021e-16, 1, 1
0.301, -4.70703e-06, -8.711e-06, 0.999988, 0.999976
0.401, -2.00439e-05, 8.88014e-07, 0.999714, 0.99943
0.501, 0.000125269, 5.80085e-05, 0.997767, 0.995547
0.601, 6.29248e-05, -5.25112e-05, 0.99074, 0.981599
0.701, -1.32031e-05, 0.000277365, 0.972449, 0.945775
0.801, 6.87988e-05, 3.90557e-05, 0.931438, 0.867969
0.901, -4.96338e-05, 1.5536e-05, 0.835363, 0.699519
1.001, -0.00044249, 6.59329e-05, 0.373685, 0.177304
1.101, 0.000244712, -0.000376899, 0.0247445, 0.00124423
1.201, 0.00176132, -0.00170638, 0.0108261, 0.000233512
1.301, 0.00123921, -0.00141915, 0.00711257, 0.00010319
1.401, 0.00109362, 0.000775778, 0.00509895, 5.19024e-05
1.501, -0.00160212, 0.000945405, 0.00420238, 3.52996e-05
1.601, 0.00105433, 1.00388e-05, 0.00356198, 2.57752e-05
1.701, -0.00239183, -0.000417815, 0.00307385, 2.03617e-05
1.801, -0.00539139, 0.000478504, 0.00281824, 1.59706e-05
1.901, 6.26025e-05, -0.00306603, 0.00263418, 1.45086e-05
2.001, 0.00115171, -0.000380501, 0.00244449, 1.18801e-05
2.101, 0.00350994, 0.00157925, 0.00221613, 1.03448e-05
2.201, 0.000211753, -0.00401928, 0.0022555, 1.00879e-05
2.301, -0.000943291, 0.000260247, 0.00204591, 8.83101e-06
2.401, -0.00198882, 0.00254137, 0.00198747, 7.55124e-06
2.501, -0.00230023, -0.00221538, 0.00190871, 7.40866e-06
2.601, -0.00327028, 0.00402514, 0.00166004, 5.53236e-06
2.701, -0.00203034, 0.00143578, 0.00185238, 6.90931e-06
2.801, 0.00142976, 0.00333636, 0.0017748, 6.1907e-06
2.901, 0.000368696, -0.00108474, 0.00163368, 5.49123e-06
3.001, -0.00265572, -0.000728798, 0.00163207, 5.23183e-06
3.101, -0.00233202, -0.00133735, 0.00153933, 4.80064e-06
3.201, -0.00165481, -0.000497364, 0.00148509, 4.50351e-06
3.301, -0.000636597, -0.000521332, 0.00160293, 5.09468e-06
3.401, -0.00218176, 0.00280063, 0.00156087, 4.97769e-06
3.501, 0.00407213, -0.0012944, 0.00145591, 4.31036e-06
3.601, 0.00384, 0.00171729, 0.00157436, 4.90956e-06
3.701, 0.00014292, 0.00250413, 0.00148174, 4.38508e-06
3.801, 0.00220816, 0.00059623, 0.00154423, 4.59076e-06
3.901, 0.00338377, -0.000380222, 0.00141328, 4.03621e-06
4.001, 0.000791963, -0.00157312, 0.00136821, 3.73224e-06
4.101, 0.00214022, -0.00259837, 0.00151749, 4.59787e-06
4.201, -0.000930063, 0.00213527, 0.00149296, 4.4792e-06
4.301, 0.000267534, -0.00433399, 0.00141317, 4.03605e-06
4.401, 0.0060105, 0.00270422, 0.00137747, 3.77838e-06
4.501, 0.00194143, 0.000963284, 0.00129115, 3.2144e-06
4.601, 0.00370081, 0.00237107, 0.0012594, 3.05394e-06
4.701, 0.000718472, -0.00183657, 0.0012829, 3.22092e-06
4.801, -0.00179675, 0.00248472, 0.00130288, 3.47838e-06
4.901, 0.00080686, 0.00239663, 0.00123068, 2.93234e-06
